Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month
149670,27in FHD Monitor,1,149.99,2019-01-24 10:52:00,"727 Cedar St, Boston, MA 02215",January
148735,27in FHD Monitor,1,149.99,2019-01-16 20:50:00,"624 Maple St, San Francisco, CA 94016",January
147886,27in FHD Monitor,1,149.99,2019-01-18 20:57:00,"181 10th St, Austin, TX 73301",January
147985,27in FHD Monitor,1,149.99,2019-01-23 15:38:00,"671 West St, New York City, NY 10001",January
149193,27in FHD Monitor,1,149.99,2019-01-29 16:25:00,"734 Madison St, Los Angeles, CA 90001",January
145021,27in FHD Monitor,1,149.99,2019-01-26 14:56:00,"791 Lincoln St, New York City, NY 10001",January
145613,27in FHD Monitor,1,149.99,2019-01-05 20:53:00,"660 West St, San Francisco, CA 94016",January
141629,27in FHD Monitor,1,149.99,2019-01-27 12:22:00,"434 Church St, San Francisco, CA 94016",January
142067,27in FHD Monitor,1,149.99,2019-01-30 09:23:00,"149 Ridge St, Los Angeles, CA 90001",January
143182,27in FHD Monitor,1,149.99,2019-01-03 20:21:00,"548 Johnson St, Seattle, WA 98101",January
144234,27in FHD Monitor,1,149.99,2019-01-23 21:04:00,"569 Chestnut St, San Francisco, CA 94016",January
145708,27in FHD Monitor,1,149.99,2019-01-12 12:54:00,"850 10th St, Seattle, WA 98101",January
148164,27in FHD Monitor,1,149.99,2019-01-23 16:44:00,"362 13th St, Boston, MA 02215",January
142512,27in FHD Monitor,1,149.99,2019-01-15 10:35:00,"760 Elm St, New York City, NY 10001",January
144111,27in FHD Monitor,1,149.99,2019-01-23 22:38:00,"725 Sunset St, Los Angeles, CA 90001",January
144547,27in FHD Monitor,1,149.99,2019-01-13 22:47:00,"83 Elm St, New York City, NY 10001",January
144702,27in FHD Monitor,1,149.99,2019-01-18 21:04:00,"587 6th St, San Francisco, CA 94016",January
146856,27in FHD Monitor,1,149.99,2019-01-22 19:12:00,"936 7th St, Boston, MA 02215",January
