Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month
142344,27in 4K Gaming Monitor,1,389.99,2019-01-02 11:01:00,"336 2nd St, Los Angeles, CA 90001",January
146935,27in 4K Gaming Monitor,1,389.99,2019-01-18 00:10:00,"93 Hill St, New York City, NY 10001",January
148971,27in 4K Gaming Monitor,1,389.99,2019-01-22 23:20:00,"523 12th St, Dallas, TX 75001",January
144174,27in 4K Gaming Monitor,1,389.99,2019-01-25 19:12:00,"447 Main St, Boston, MA 02215",January
144061,27in 4K Gaming Monitor,1,389.99,2019-01-07 15:41:00,"839 Adams St, San Francisco, CA 94016",January
142669,27in 4K Gaming Monitor,1,389.99,2019-01-02 15:16:00,"793 11th St, San Francisco, CA 94016",January
148773,27in 4K Gaming Monitor,1,389.99,2019-01-21 22:38:00,"727 Main St, San Francisco, CA 94016",January
149702,27in 4K Gaming Monitor,1,389.99,2019-01-20 13:36:00,"326 Meadow St, New York City, NY 10001",January
149929,27in 4K Gaming Monitor,1,389.99,2019-01-01 10:02:00,"167 Johnson St, New York City, NY 10001",January
149233,27in 4K Gaming Monitor,1,389.99,2019-01-11 22:22:00,"356 Forest St, Boston, MA 02215",January
141665,27in 4K Gaming Monitor,1,389.99,2019-01-23 18:55:00,"499 7th St, Boston, MA 02215",January
146919,27in 4K Gaming Monitor,1,389.99,2019-01-11 14:09:00,"761 12th St, Austin, TX 73301",January
149924,27in 4K Gaming Monitor,1,389.99,2019-01-07 16:04:00,"492 14th St, San Francisco, CA 94016",January
146372,27in 4K Gaming Monitor,1,389.99,2019-01-03 10:24:00,"68 7th St, Boston, MA 02215",January
143567,27in 4K Gaming Monitor,1,389.99,2019-01-30 09:22:00,"371 Jackson St, San Francisco, CA 94016",January
149635,27in 4K Gaming Monitor,1,389.99,2019-01-27 22:50:00,"165 Pine St, Los Angeles, CA 90001",January
141511,27in 4K Gaming Monitor,1,389.99,2019-01-14 16:57:00,"608 13th St, New York City, NY 10001",January
147978,27in 4K Gaming Monitor,1,389.99,2019-01-02 15:11:00,"530 4th St, New York City, NY 10001",January
146945,27in 4K Gaming Monitor,1,389.99,2019-01-19 21:44:00,"489 Meadow St, San Francisco, CA 94016",January
149963,27in 4K Gaming Monitor,1,389.99,2019-01-05 20:49:00,"681 North St, Boston, MA 02215",January
150072,27in 4K Gaming Monitor,1,389.99,2019-01-17 17:29:00,"284 5th St, New York City, NY 10001",January
